subject_number,FromM1_ToM2,FromM1_ToM4,FromM1_ToM3,FromM1_ToM5,FromM2_ToM1,FromM2_ToM4,FromM2_ToM3,FromM2_ToM5,FromM4_ToM1,FromM4_ToM2,FromM4_ToM3,FromM4_ToM5,FromM3_ToM1,FromM3_ToM2,FromM3_ToM4,FromM3_ToM5,FromM5_ToM1,FromM5_ToM2,FromM5_ToM4,FromM5_ToM3
S42,0.988150383,0.831458993,1.227070382,0.787827953,1.047271647,0.902308676,1.139609291,0.872378856,0.750619705,0.711109086,1.269842975,1.121019078,1.019050789,1.0808104,0.91498933,0.973612542,0.904080797,0.967304059,1.123982084,1.117683014
S43,0.959512741,0.966952352,1.052632053,0.953868674,0.878543866,0.665471848,1.328140153,0.841627652,0.804570403,0.79232454,1.297615097,1.015594486,1.066397425,0.919538481,0.865466662,1.138345854,0.777346219,1.077743323,1.134970322,1.056714166
S44,0.881382702,0.711711654,1.267224909,0.895956866,0.818559293,0.958669798,1.210375059,0.784452407,1.159388405,0.788939608,0.979631782,1.117983389,0.878920196,1.076550269,0.873487379,1.224208578,1.104539163,0.789196676,1.164240006,1.102443405
S45,1.047076562,0.897284403,1.112733229,1.06170251,1.003944041,0.963304414,1.035327436,0.882009113,0.781156594,0.886420124,1.221183401,1.157943622,0.893308966,1.084402444,1.083898109,1.037411331,1.004977289,0.829378126,1.059265378,1.024612228
S46,0.958975047,0.93793154,1.295145001,0.674330832,0.912287033,1.15631088,1.105701562,0.679322537,1.048951809,0.941365385,1.16054166,0.925544118,0.830345109,1.166668073,0.822376625,1.281043166,1.24228614,0.93623198,0.919215703,0.952967553
S47,0.904945227,0.998437681,1.196543414,0.968976432,0.652292341,0.999053856,1.047619048,0.92550731,0.670998683,0.956311936,1.255162925,0.930890738,1.047592242,0.905703477,0.973313195,1.262324488,1.100127517,0.94365039,0.915287031,1.037408592
S48,1.166040735,0.758669424,1.189159501,0.941777497,1.060652711,1.023603087,0.857010731,1.212895095,0.805780468,0.962122828,1.19440735,0.855453552,1.0923337,0.829345188,1.136527766,0.975876458,0.661186394,1.110199208,0.917254656,1.272636991
S49,1.09662648,0.929212296,1.070891754,0.662798663,1.288509352,0.991878368,0.888865439,0.843098753,0.791957579,1.093859354,1.151275087,1.1121187,0.796981601,0.981333323,1.058298474,1.203416958,1.032574553,1.012483303,1.167196028,0.954626335
S50,0.916139008,0.666665111,1.267768152,0.957814098,0.947597976,1.047704553,1.220505536,0.763036021,1.003686575,1.089269836,1.107098307,0.857177429,0.996518046,1.003032884,0.925873117,1.160368297,0.897248731,0.812585121,1.34389136,0.996258901
S51,0.842477222,0.797800298,1.226969301,0.999141937,1.168992475,0.708850203,1.143343349,0.994269633,1.050080756,0.990542293,1.096616387,0.965251355,0.829033244,1.077330308,1.153271938,1.019915864,0.756232058,0.957087961,0.971072938,1.155904511
S52,1.572550539,0.765215901,1.030099338,0.832888744,1.246110439,0.85707079,0.908167724,1.107784894,0.686840976,0.805168341,1.244718513,0.955242978,1.072825902,0.889336084,1.120885305,0.939203372,0.920546248,0.886770817,1.150687475,1.17281374
S53,1.122573786,1.000154023,0.934497672,1.056035492,1.087414212,0.867500553,1.340108219,0.408886693,0.807441368,0.958149303,0.969566489,1.65581755,1.142480085,1.106705637,0.961274415,0.740340549,0.967199346,0.68013138,1.284517831,1.036954781
S54,1.009314286,0.707785724,1.161323956,1.12941807,1.46251273,0.71365243,1.267241348,0.553253668,1.005563443,0.734218235,0.919707163,1.565952906,0.860983877,1.034584221,1.105261193,0.717845973,0.78940341,0.741073243,1.085758994,1.146708836
