subject_number,time,microstate,gev,duration,coverage,occurrence
S39,3,M5,0.136091,89.309317,24.700606,2.384062
S40,3,M5,0.086162,81.572701,18.735386,1.98274
S41,3,M5,0.080228,79.434533,17.300582,1.942959
S42,3,M5,0.078056,85.383761,17.442949,1.781729
S43,3,M5,0.078983,79.1216,15.884537,1.784779
S44,3,M5,0.081105,73.725351,16.799305,2.025756
S45,3,M5,0.079275,85.367282,15.406,1.583388
S46,3,M5,0.091557,84.396355,18.000753,1.901074
S47,3,M5,0.085949,82.805775,18.55755,1.962352
S48,3,M5,0.087455,89.342813,18.157714,1.730826
S1,4,M5,0.061272,80.432638,13.925585,1.520142
S2,4,M5,0.053218,83.017215,12.77153,1.340831
S3,4,M5,0.075273,80.709829,15.89214,1.743581
S4,4,M5,0.07512,85.796859,15.665133,1.59809
S5,4,M5,0.061956,78.969825,14.448739,1.621087
S6,4,M5,0.080889,87.797528,17.180209,1.711303
S7,4,M5,0.076151,80.185379,17.148167,1.913735
S8,4,M5,0.056315,76.975481,13.324289,1.557535
S9,4,M5,0.029084,75.446135,10.06594,1.170352
S10,4,M5,0.078793,76.366648,15.946862,1.850664
S11,4,M5,0.075141,82.300953,16.428506,1.756621
S12,4,M5,0.082417,77.746103,15.95076,1.853427
S13,4,M5,0.069453,82.361609,14.649858,1.536602
S14,4,M5,0.054809,76.309837,12.969631,1.495726
S15,4,M5,0.067051,83.009579,14.94555,1.578063
S16,4,M5,0.093445,85.837299,18.45692,1.884784
S17,4,M5,0.058606,83.366514,14.701583,1.533086
S18,4,M5,0.080216,81.778372,17.57453,1.905447
S19,4,M5,0.073655,87.357077,16.88343,1.695198
S20,4,M5,0.070395,85.416622,15.205596,1.550273
S21,4,M5,0.04001,73.168831,10.44066,1.277212
S22,4,M5,0.06829,83.189313,14.410496,1.516702
S23,4,M5,0.094361,86.563701,19.43461,1.957944
S24,4,M5,0.092398,84.09248,18.013641,1.853551
S25,4,M5,0.092917,89.838098,18.986874,1.855305
