subject_number,time,FromM1_ToM2,FromM1_ToM3,FromM1_ToM4,FromM1_ToM5,FromM2_ToM1,FromM2_ToM3,FromM2_ToM4,FromM2_ToM5,FromM3_ToM1,FromM3_ToM2,FromM3_ToM4,FromM3_ToM5,FromM4_ToM1,FromM4_ToM2,FromM4_ToM3,FromM4_ToM5,FromM5_ToM1,FromM5_ToM2,FromM5_ToM3,FromM5_ToM4
S7,2,0.850461937,1.149954578,0.878813815,0.951076808,0.894969685,1.337089785,0.912116295,0.97567298,1.0867633,0.848751474,1.155748028,0.969352567,0.715976744,0.951773238,1.065491351,1.212198566,0.97471058,1.070383608,1.038743452,0.873202721
S8,2,1.247639373,1.008471093,0.779143604,0.832061692,1.149566166,1.173712664,0.773269055,0.886462528,1.01302417,1.067701887,0.976984439,0.999019869,0.803924159,0.85955295,1.213372709,1.23381012,1.035911269,0.778060881,1.030500155,1.144206299
S9,2,1.252778753,1.172272881,0.562610387,0.815328684,0.883890691,1.110072874,0.791531643,1.030781297,1.042889012,1.064972237,1.075779026,0.827950743,1.0398697,0.696869204,1.257992065,1.3208942,1.083818717,0.931180802,0.903522495,1.310976187
S10,2,1.109277242,0.946785182,0.989280056,0.921280711,1.081312662,1.240064541,0.726866658,0.904992578,1.089861413,0.973573574,0.952968842,1.067092345,1.054594292,0.629772242,0.987694722,1.206264562,0.836251612,0.928848855,1.189188066,1.05583642
S11,2,1.140338713,1.342975115,0.868693682,0.587687797,0.973869814,1.046001394,0.879872544,1.052317874,1.227234176,0.744441186,0.874455908,1.126828549,0.885446629,0.819759078,1.173264328,1.162705087,0.73934843,0.957819537,0.987024697,1.343439333
S12,2,1.07140815,1.019309795,0.871334298,0.926736948,0.996046168,1.11042197,1.034850326,0.812751965,1.066458772,1.073358917,1.030129984,1.006941864,0.96348599,1.002296303,1.009411748,1.168033829,0.762537839,0.852748854,1.3058713,0.94172363
S13,2,0.739244171,1.22648351,1.156250869,0.905878017,1.167781663,1.037880969,0.920456177,0.614801855,0.830768183,1.207410044,0.896658039,1.142531433,1.028631618,0.869932263,1.321982748,0.918984958,0.909103955,0.937384136,0.931501002,1.122725078
S14,2,0.987447181,1.158245908,0.950281544,0.857819509,0.846662117,1.182705847,0.802635606,1.041528305,0.998920273,1.076331629,0.906343445,0.96966372,0.896611824,0.836072514,1.427826755,0.91115534,1.051292176,0.886399092,0.757455379,1.577991269
S15,2,0.64720452,1.045587298,0.96229628,1.112412068,0.919240279,1.20515715,0.848176863,1.002605174,0.946393437,1.142990672,1.054461182,0.825772089,1.014691927,0.841643538,1.117652159,1.124665502,0.771067702,1.252052289,1.163860015,0.987752615
S16,2,1.044519944,1.073507729,0.841030086,1.01089916,1.05492119,1.17213674,0.676830147,1.054922133,0.9093578,0.95195623,1.093793945,1.118044249,0.944320103,0.880712875,1.265342508,0.907261258,0.788574342,1.04189336,0.876189322,1.32591877
S17,2,1.107425844,1.112666225,0.677449032,0.964882925,0.724621272,1.362794472,0.883244314,0.986385505,1.226948746,0.97655107,0.901010788,0.876390261,0.943930424,0.623214742,1.238747572,1.035104765,0.908488803,0.820798863,1.158653432,1.210447397
S18,2,0.9940253,1.254962584,0.788592401,0.775269628,0.878905533,1.111114501,1.079461653,0.854705284,1.042467648,1.04826721,0.859698359,1.106047687,0.957066642,1.009594237,0.973852632,1.192470052,1.035958868,0.875814697,1.072640129,1.185599428
S19,2,0.864438968,1.231336035,0.938978857,0.829670948,1.189215811,1.293114712,0.772322067,0.770084489,0.927958977,1.02396829,1.082317661,0.957528405,0.49349158,0.952970677,1.096456241,1.314789731,0.736241661,0.904737198,1.199750572,1.043227338
S20,2,1.004623624,1.208845554,0.716713704,1.11784089,0.847948641,1.095507704,0.94799963,1.003889574,1.109366244,1.070960073,1.029938316,0.825559083,0.974573945,0.906022338,1.128850376,0.916255708,0.940682063,1.085599215,0.942920736,1.153458344
S21,2,0.879093222,1.160398473,1.003529781,0.880255699,0.879376662,1.26427567,0.975818605,0.779526658,1.171687983,1.146542437,0.656171552,0.913229832,0.985464258,0.873153516,1.097679898,1.177640641,1.031617991,0.59712969,1.105799062,1.410841327
S22,2,0.947937183,1.138191875,0.84261083,0.968998117,0.749455788,1.342564189,0.814627252,0.836447361,1.019906743,1.005123992,0.99034146,1.002903594,1.097416349,0.64006274,1.257591535,1.003730677,0.882875247,0.993918589,1.021012845,1.302376082
S23,2,1.302005824,1.163519916,0.879368262,0.910469718,1.060701537,1.411110828,0.719877593,0.706013017,1.001481778,0.874363481,1.024929071,1.135142461,0.874266677,0.660544191,1.043657844,1.091094725,0.888976585,0.697068963,1.164385164,1.118141006
S24,2,0.759652327,1.242696605,1.203537122,0.744071136,1.144911701,1.024741745,0.769828965,1.017309522,0.982329299,1.170504802,0.876491324,1.058796624,0.822259409,0.896373421,1.205453829,1.166077896,1.005637927,0.864707838,0.851512884,1.291566924
S25,2,1.161140142,1.018795598,1.049372196,0.810284953,1.235378264,1.102150559,0.615910644,0.976190709,0.954255743,0.890636022,1.055662689,1.042042199,1.026255469,0.95170725,1.07031808,1.071869882,1.092436885,0.889193883,0.980808062,1.133283831
S26,2,0.964151412,1.228543007,0.89688716,0.85702977,1.056776614,1.090929362,0.772530067,0.966687664,1.02329747,1.087251417,0.975433195,0.964657091,1.007790942,0.95501675,1.154936753,0.870345134,0.812502813,0.841147502,1.211088542,1.095443281
S27,2,0.934038838,1.143398081,1.127186251,0.79114,1.202809828,1.163438505,0.778467693,0.743081034,0.86810342,1.0500513,0.860733328,1.25658037,1.033127978,0.697039009,1.21010871,1.056280726,0.607337839,1.132439194,0.998120803,1.193151945
S28,2,1.115401106,1.179032276,0.801561606,0.723561003,0.929298234,1.179506929,1.200587278,0.567237622,1.15615258,1.093075368,0.694019022,1.044132707,0.897601919,0.733616583,0.96540655,1.565785529,0.881476786,0.576349972,1.310045242,0.971255926
S29,2,0.902071638,1.239628277,0.818842126,0.813819997,1.031728885,1.130200158,0.793244235,0.936203898,1.04120622,1.114335515,1.003327999,0.876826782,1.000245249,1.130940229,1.0034003,1.04900348,0.966365633,1.069514358,1.037011627,0.922291087
S30,2,0.972183395,1.198545063,0.959262468,0.8237144,0.939804976,1.168893026,0.843638557,0.886624385,1.082462371,1.128367853,0.825125751,0.939298968,0.559586981,0.818179736,1.518072655,1.10063947,0.817630537,0.774669141,1.102717789,1.172250497
S31,2,1.120046798,1.11605234,0.587824342,0.853038452,0.985107381,1.187406449,0.979803292,0.803664239,1.023644871,0.971991271,0.884541961,1.199127337,1.010582743,0.962512571,1.136908528,0.986520755,0.923575166,0.858702345,1.111179465,1.116354089
S32,2,0.97493552,1.356496708,0.969352942,0.64760458,1.059594575,1.059596322,0.94186111,1.013525498,1.14516684,0.905399437,0.915233529,1.00024601,0.855022278,1.018915863,1.016863684,1.178974108,0.854615639,0.855016387,1.172748633,0.978096395
S33,2,0.956247719,1.13896544,0.783656447,1.039643446,0.8767008,1.171242283,0.78506246,1.071619982,1.179646214,1.077495863,0.933270172,0.835625077,1.008588515,0.712104328,1.149525438,1.154659745,0.906351998,0.982107717,0.990220151,1.183600248
S34,2,1.132558816,1.315904165,0.638283066,0.67256615,1.245266969,1.059923265,0.821178225,0.993894323,1.009698568,1.030812,0.844649644,0.984987996,0.900924091,0.819433316,1.168067829,1.185783249,0.745656129,0.945091383,1.184276441,1.156687621
S35,2,1.0778419,1.120240701,0.821953016,0.957944628,1.021424811,1.208504801,0.749641131,0.790795561,0.868032773,1.116814694,1.001669134,1.118498996,0.794740271,0.649866566,1.192420401,1.218164821,0.859869506,0.7896082,1.1899622,1.039422906
S36,2,1.128596841,0.944060136,0.967626349,0.908472113,0.935881471,1.153548032,0.765045788,0.792902183,0.913642611,1.024231622,0.912762061,1.270618885,1.094785157,0.800576971,1.200414538,0.998870872,0.933816268,0.719781283,1.142749897,1.148788491
S37,2,0.997383755,1.128140098,0.893681907,0.790351745,0.929185011,1.235536249,0.923248086,0.765469188,1.127743181,1.017203604,0.834943357,1.116724693,0.714527792,0.590783093,1.285712408,1.345207486,1.000194104,0.909672722,1.019850815,1.179938425
S38,2,0.854988797,1.170796334,1.051804391,0.975661457,1.01209453,1.228868909,0.980566042,0.699359837,0.884882367,1.162032283,0.999422475,1.005892697,0.733442101,1.075158588,1.152456381,0.96037823,1.225510341,0.688019052,1.053259871,1.039055734
S39,2,1.263734797,1.030468864,0.817536351,0.892995442,1.02014482,0.899484526,0.667205187,1.205625696,0.892304188,0.921305558,1.019265157,1.17362965,0.780378506,1.220696069,1.14814714,1.017676456,1.038350524,0.644352081,1.064842111,1.296859486
S40,2,1.236613025,1.233888355,0.742337114,0.871217917,1.100982625,0.925295,0.886866121,1.211162071,1.003359231,0.89766312,1.136815293,1.057404151,0.730098211,0.86776123,1.300622335,0.913948944,0.851586251,0.935254837,1.225848594,0.779935348
S41,2,0.579132594,1.387131284,0.932377322,0.907517062,1.127663705,1.064091004,0.829050256,1.1374061,0.828885895,1.203465498,0.882564601,0.96439668,1.013526008,1.078857997,1.188079291,0.866974402,0.990503756,0.806428513,1.035077495,1.256580575
S42,2,0.946143982,1.011074143,0.910278409,1.033174548,1.174366097,1.2671748,0.97260517,0.626710319,0.918092284,1.082645521,0.996151615,0.956878413,0.869160157,1.036611222,0.894722446,1.329860652,0.803153212,0.91537468,1.125293246,1.276031165
